Colour_Type,Colour_brand,Material_stock_colour_name,InStock,material_stock_comment,Resin,clay
Alcohol ink,Kamenskaya,Orange,Y,,Y,N
Alcohol ink,Kamenskaya,Pink,Y,,Y,N
Alcohol ink,Kamenskaya,Purple,Y,,Y,N
Alcohol ink,Kamenskaya,Red,Y,,Y,N
Alcohol ink,Kamenskaya,Sky Blue,Y,,Y,N
Alcohol ink,Kamenskaya,White,N,,Y,N
Alcohol ink,Kamenskaya,Yellow,Y,,Y,N
Alcohol ink,Kamenskaya,Neptune,N,,Y,Y
Alcohol ink,Kamenskaya,Arctic,N,,Y,Y
Alcohol ink,Kamenskaya,Bronze,Y,,Y,Y
Alcohol ink,Kamenskaya,Gold,N,,Y,Y
Alcohol ink,Kamenskaya,Silver,N,,Y,Y
,,,,,,
Mica powder,Stuck Up Pigs,Hoity Toity,Y,,Y,Y
Mica powder,Stuck Up Pigs,Boastful,Y,,Y,Y
Mica powder,Stuck Up Pigs,Pretentious,Y,,Y,Y
Mica powder,Stuck Up Pigs,Pompous,Y,,Y,Y
Mica powder,Stuck Up Pigs,Egotistical,Y,,Y,Y
,,,,,,
Mica powder,This Little Piggy,Abalone,n,,Y,Y
Mica powder,This Little Piggy,Afterglow,Y,,Y,Y
Mica powder,This Little Piggy,Agapanthus,N,,Y,Y
Mica powder,This Little Piggy,Algae,,,Y,Y
Mica powder,This Little Piggy,Aphrodite,,,Y,Y
Mica powder,This Little Piggy,Aquamarine,Y,,Y,Y
Mica powder,This Little Piggy,Asparagus,Y,,Y,Y
Mica powder,This Little Piggy,Aspen,,,Y,Y
Mica powder,This Little Piggy,Athena,,,Y,Y
Mica powder,This Little Piggy,Axolotl,Y,,Y,Y
Mica powder,This Little Piggy,Ball Gown,Y,,Y,Y
Mica powder,This Little Piggy,Ballet Slipper,,,Y,Y
Mica powder,This Little Piggy,Bellini,Y,,Y,Y
Mica powder,This Little Piggy,Billabong,y,,Y,Y
Mica powder,This Little Piggy,Bird of Paradise,Y,,Y,Y
Mica powder,This Little Piggy,Black Forest,Y,,Y,Y
Mica powder,This Little Piggy,Bloodstone,Y,,Y,Y
Mica powder,This Little Piggy,Blue Eyes,,,Y,Y
Mica powder,This Little Piggy,Boogie,Y,,Y,Y
Mica powder,This Little Piggy,Blush,,,Y,Y
Mica powder,This Little Piggy,Bordeaux,,,Y,Y
Mica powder,This Little Piggy,Brûlée,Y,,Y,Y
Mica powder,This Little Piggy,Bubblegum,,,Y,Y
Mica powder,This Little Piggy,Buttercup,,,Y,Y
Mica powder,This Little Piggy,Burnt Sierra,,,Y,Y
Mica powder,This Little Piggy,Cappuccino,,,Y,Y
Mica powder,This Little Piggy,Caramel Drizzle,Y,,Y,Y
Mica powder,This Little Piggy,Chiffon,,,Y,Y
Mica powder,This Little Piggy,Cinnamon,Y,,Y,Y
Mica powder,This Little Piggy,Comet,Y,,Y,Y
Mica powder,This Little Piggy,Constellation,Y,Purple,Y,Y
Mica powder,This Little Piggy,Cottontail,,,Y,Y
Mica powder,This Little Piggy,Cosmic,y,Interference,Y,Y
Mica powder,This Little Piggy,Crescendo,,,Y,Y
Mica powder,This Little Piggy,Crème Brûlée,,,Y,Y
Mica powder,This Little Piggy,Crimson,,,Y,Y
Mica powder,This Little Piggy,Dahlia,,,Y,Y
Mica powder,This Little Piggy,Déjà Vu,Y,Neon,Y,Y
Mica powder,This Little Piggy,Dragonfruit,,,Y,Y
Mica powder,This Little Piggy,Dusk,,,Y,Y
Mica powder,This Little Piggy,Echeveria,Y,,Y,Y
Mica powder,This Little Piggy,Emerald,Y,,Y,Y
Mica powder,This Little Piggy,Enchantment,Y,Purple,Y,Y
Mica powder,This Little Piggy,Fairy Floss,,,Y,Y
Mica powder,This Little Piggy,Fandango,,,Y,Y
Mica powder,This Little Piggy,Firefly,,,Y,Y
Mica powder,This Little Piggy,Flamenco,,,Y,Y
Mica powder,This Little Piggy,Flamingle,y,,Y,Y
Mica powder,This Little Piggy,Frost,Y,,Y,Y
Mica powder,This Little Piggy,Funk,Y,,Y,Y
Mica powder,This Little Piggy,Garnet,,,Y,Y
Mica powder,This Little Piggy,Galaxy,Y,Black,Y,Y
Mica powder,This Little Piggy,Gilded,Y,Gold,Y,Y
Mica powder,This Little Piggy,Glisten,Y,,Y,Y
Mica powder,This Little Piggy,Golden Peach,,,Y,Y
Mica powder,This Little Piggy,Grenache,y,,Y,Y
Mica powder,This Little Piggy,Groovy,Y,Neon,Y,Y
Mica powder,This Little Piggy,Grunge,,,Y,Y
Mica powder,This Little Piggy,Halo,,,Y,Y
Mica powder,This Little Piggy,Hammerhead,,,Y,Y
Mica powder,This Little Piggy,Havana,,,Y,Y
Mica powder,This Little Piggy,Harvest Gold,,,Y,Y
Mica powder,This Little Piggy,Hibiscus,,,Y,Y
Mica powder,This Little Piggy,Honeycomb,y,,Y,Y
Mica powder,This Little Piggy,Horizon,,,Y,Y
Mica powder,This Little Piggy,Hustle,,,Y,Y
Mica powder,This Little Piggy,Indigo Waves,,,Y,Y
Mica powder,This Little Piggy,Inferno,,,Y,Y
Mica powder,This Little Piggy,Jade,,,Y,Y
Mica powder,This Little Piggy,Jellybean,,,Y,Y
Mica powder,This Little Piggy,Juicy,,,Y,Y
Mica powder,This Little Piggy,King of Payne,y,,Y,Y
Mica powder,This Little Piggy,Lagoon,y,,Y,Y
Mica powder,This Little Piggy,Lakeside,,,Y,Y
Mica powder,This Little Piggy,Latte,,,Y,Y
Mica powder,This Little Piggy,Lemon Sorbet,y,,Y,Y
Mica powder,This Little Piggy,Lily Pad,y,,Y,Y
Mica powder,This Little Piggy,Limeade,,,Y,Y
Mica powder,This Little Piggy,Limoncello,,,Y,Y
Mica powder,This Little Piggy,Lollipop,,,Y,Y
Mica powder,This Little Piggy,Love Potion,,,Y,Y
Mica powder,This Little Piggy,Luck,,,Y,Y
Mica powder,This Little Piggy,Lychee,,,Y,Y
Mica powder,This Little Piggy,Macaw,y,Interference,Y,Y
Mica powder,This Little Piggy,Majesty,,,Y,Y
Mica powder,This Little Piggy,Mango,y,,Y,Y
Mica powder,This Little Piggy,Maraschino,y,,Y,Y
Mica powder,This Little Piggy,Mermaid,,,Y,Y
Mica powder,This Little Piggy,Meteorite,y,,Y,Y
Mica powder,This Little Piggy,Midnight,,,Y,Y
Mica powder,This Little Piggy,Mimosa,,,Y,Y
Mica powder,This Little Piggy,Mint Chip,,,Y,Y
Mica powder,This Little Piggy,Mocha,,,Y,Y
Mica powder,This Little Piggy,Moonbeam,,,Y,Y
Mica powder,This Little Piggy,Mosh,y,Neon,Y,Y
Mica powder,This Little Piggy,Nebula,,,Y,Y
Mica powder,This Little Piggy,Nectar,,,Y,Y
Mica powder,This Little Piggy,Nightfall,y,,Y,Y
Mica powder,This Little Piggy,Nova,,,Y,Y
Mica powder,This Little Piggy,Ocean,,,Y,Y
Mica powder,This Little Piggy,Opal,,,Y,Y
Mica powder,This Little Piggy,Ore,y,Gold,Y,Y
Mica powder,This Little Piggy,Orchid,,,Y,Y
Mica powder,This Little Piggy,Parakeet,,,Y,Y
Mica powder,This Little Piggy,Peacock,,,Y,Y
Mica powder,This Little Piggy,Peony,,,Y,Y
Mica powder,This Little Piggy,Persephone,y,,Y,Y
Mica powder,This Little Piggy,Petal,,,Y,Y
Mica powder,This Little Piggy,Phoenix,,,Y,Y
Mica powder,This Little Piggy,Pineapple,,,Y,Y
Mica powder,This Little Piggy,Pink Champagne,,,Y,Y
Mica powder,This Little Piggy,Pinot Gris,y,,Y,Y
Mica powder,This Little Piggy,Pinwheel,y,,Y,Y
Mica powder,This Little Piggy,Pixie,,,Y,Y
Mica powder,This Little Piggy,Plum,,,Y,Y
Mica powder,This Little Piggy,Prehnite,y,,Y,Y
Mica powder,This Little Piggy,Poppy,,,Y,Y
Mica powder,This Little Piggy,Psych!,y,,Y,Y
Mica powder,This Little Piggy,Pumpkin Pie,,,Y,Y
Mica powder,This Little Piggy,Rose Quartz,y,,Y,Y
Mica powder,This Little Piggy,Rad,y,,Y,Y
Mica powder,This Little Piggy,Rave,,,Y,Y
Mica powder,This Little Piggy,Raspberry,,,Y,Y
Mica powder,This Little Piggy,Rose Gold,,,Y,Y
Mica powder,This Little Piggy,Rosé,y,,Y,Y
Mica powder,This Little Piggy,Ruby,,,Y,Y
Mica powder,This Little Piggy,Saffron,,,Y,Y
Mica powder,This Little Piggy,Smores,y,,Y,Y
Mica powder,This Little Piggy,Sangria,y,,Y,Y
Mica powder,This Little Piggy,Sapphire,,,Y,Y
Mica powder,This Little Piggy,Sea Glass,,,Y,Y
Mica powder,This Little Piggy,Seaweed,y,Olive green,Y,Y
Mica powder,This Little Piggy,Sequins,y,Interference,Y,Y
Mica powder,This Little Piggy,Shimmer,y,Interference,Y,Y
Mica powder,This Little Piggy,Show Pony,,,Y,Y
Mica powder,This Little Piggy,Simplitity,y,White,Y,Y
Mica powder,This Little Piggy,Sky,,,Y,Y
Mica powder,This Little Piggy,Snowflake,,,Y,Y
Mica powder,This Little Piggy,Sorbet,,,Y,Y
Mica powder,This Little Piggy,Sockeye,y,Dusty pink,Y,Y
Mica powder,This Little Piggy,Sparkle,,,Y,Y
Mica powder,This Little Piggy,Starfish,,,Y,Y
Mica powder,This Little Piggy,Sterling,,,Y,Y
Mica powder,This Little Piggy,Storm,Y,Grey,Y,Y
Mica powder,This Little Piggy,Strawberry,,,Y,Y
Mica powder,This Little Piggy,Submarine,Y,Yellow,Y,Y
Mica powder,This Little Piggy,Sugar Plum,,,Y,Y
Mica powder,This Little Piggy,Sunflower,,,Y,Y
Mica powder,This Little Piggy,Supernova,Y,Pink with blue reflect,Y,Y
Mica powder,This Little Piggy,Syrah,Y,,Y,Y
Mica powder,This Little Piggy,Taffy,Y,Blue,Y,Y
Mica powder,This Little Piggy,Tail Feather,,,Y,Y
Mica powder,This Little Piggy,Teal,,,Y,Y
Mica powder,This Little Piggy,Techno,Y,Neon Yellow,Y,Y
Mica powder,This Little Piggy,Twilight,Y,Pink,Y,Y
Mica powder,This Little Piggy,Twinkle,Y,Interference,Y,Y
Mica powder,This Little Piggy,Unicorn,Y,Blue with purple reflect,Y,Y
Mica powder,This Little Piggy,Velvet,Y,Interference,Y,Y
Mica powder,This Little Piggy,Venus,,,Y,Y
Mica powder,This Little Piggy,Vinyasa,Y,,Y,Y
Mica powder,This Little Piggy,Violet Rain,,,Y,Y
Mica powder,This Little Piggy,Waterfall,Y,Blue,Y,Y
Mica powder,This Little Piggy,Watermelon,,,Y,Y
Mica powder,This Little Piggy,Whimsy,,,Y,Y
Mica powder,This Little Piggy,Whitehaven,Y,White with touch of gold,Y,Y
Mica powder,This Little Piggy,Wild Atlantic,,,Y,Y
Mica powder,This Little Piggy,Wildflower,,,Y,Y
Mica powder,This Little Piggy,Zeus,Y,Deep Gold,Y,Y
Mica powder,This Little Piggy,Zimzelen,,,Y,Y
,,,,,Y,Y
Mica powder,Mad Micas,Always a Bridesmaid,,,Y,Y
Mica powder,Mad Micas,Andy the Money,,,Y,Y
Mica powder,Mad Micas,Angry Rose,,,Y,Y
Mica powder,Mad Micas,Aphrodite,,,Y,Y
Mica powder,Mad Micas,Ballet Slippers,,,Y,Y
Mica powder,Mad Micas,Banana Split,,,Y,Y
Mica powder,Mad Micas,Bermuda Triangle,,,Y,Y
Mica powder,Mad Micas,Black Oyster,,,Y,Y
Mica powder,Mad Micas,Blue Moon,,,Y,Y
Mica powder,Mad Micas,Blue Tide,,,Y,Y
Mica powder,Mad Micas,Bright Yellow Raincoat,,,Y,Y
Mica powder,Mad Micas,Bubble Gum,,,Y,Y
Mica powder,Mad Micas,Champagne,,,Y,Y
Mica powder,Mad Micas,Chartreuse,,,Y,Y
Mica powder,Mad Micas,Crazy Eyes,,,Y,Y
Mica powder,Mad Micas,Daydream,,,Y,Y
Mica powder,Mad Micas,Ectoplasm,,,Y,Y
Mica powder,Mad Micas,Enchanted Forest,,,Y,Y
Mica powder,Mad Micas,Envy,,,Y,Y
Mica powder,Mad Micas,Flashdance,,,Y,Y
Mica powder,Mad Micas,Flirt,,,Y,Y
Mica powder,Mad Micas,Garden Party,,,Y,Y
Mica powder,Mad Micas,Golden Buddha,,,Y,Y
Mica powder,Mad Micas,Goldfinger,,,Y,Y
Mica powder,Mad Micas,Grape Nehi,,,Y,Y
Mica powder,Mad Micas,Grasshopper,,,Y,Y
Mica powder,Mad Micas,Guava Lava,,,Y,Y
Mica powder,Mad Micas,Harold’s Purple Crayon,,,Y,Y
Mica powder,Mad Micas,Heliotrope,,,Y,Y
Mica powder,Mad Micas,Here Comes the Bride,,,Y,Y
Mica powder,Mad Micas,I Dream of Purple,,,Y,Y
Mica powder,Mad Micas,Indigo Girls,,,Y,Y
Mica powder,Mad Micas,Interstellar,,,Y,Y
Mica powder,Mad Micas,Key West,,,Y,Y
Mica powder,Mad Micas,King Tut,,,Y,Y
Mica powder,Mad Micas,Koi,,,Y,Y
Mica powder,Mad Micas,La La,,,Y,Y
Mica powder,Mad Micas,Lemon Cupcake,,,Y,Y
Mica powder,Mad Micas,Lettuce Entertain You,,,Y,Y
Mica powder,Mad Micas,Lounge Lizard,,,Y,Y
Mica powder,Mad Micas,Love Bite,,,Y,Y
Mica powder,Mad Micas,Luna,,,Y,Y
Mica powder,Mad Micas,Lush,,,Y,Y
Mica powder,Mad Micas,Magic Beans,,,Y,Y
Mica powder,Mad Micas,Mango Lassi,,,Y,Y
Mica powder,Mad Micas,Marigolds,,,Y,Y
Mica powder,Mad Micas,Marshmallow,,,Y,Y
Mica powder,Mad Micas,Matte Gold,,,Y,Y
Mica powder,Mad Micas,Metallica,,,Y,Y
Mica powder,Mad Micas,Mint Julep,,,Y,Y
Mica powder,Mad Micas,Nebula,,,Y,Y
Mica powder,Mad Micas,Peach Taffy,,,Y,Y
Mica powder,Mad Micas,Peacock,,,Y,Y
Mica powder,Mad Micas,Phyllis Diller,,,Y,Y
Mica powder,Mad Micas,Pool Party,,,Y,Y
Mica powder,Mad Micas,Poppy Red,,,Y,Y
Mica powder,Mad Micas,Poppycock,,,Y,Y
Mica powder,Mad Micas,Pow! Pow! Purple,,,Y,Y
Mica powder,Mad Micas,Preppy Blue,,,Y,Y
Mica powder,Mad Micas,Pumpkin Head,,,Y,Y
Mica powder,Mad Micas,Redrum,,,Y,Y
Mica powder,Mad Micas,Sakura,Y,Pale pink,Y,Y
Mica powder,Mad Micas,Satin Grey Pillowcase,,,Y,Y
Mica powder,Mad Micas,Satin Penny,,,Y,Y
Mica powder,Mad Micas,Sea Glass,,,Y,Y
Mica powder,Mad Micas,Sexy Stranger,,,Y,Y
Mica powder,Mad Micas,Snake Island,,,Y,Y
Mica powder,Mad Micas,Snow White,,,Y,Y
Mica powder,Mad Micas,Sour Lemons,,,Y,Y
Mica powder,Mad Micas,Space Walk,Y,Dark blue with holographic sparkle,Y,Y
Mica powder,Mad Micas,Sparkle Me Aqua,Y,Aqua sparkle,Y,Y
Mica powder,Mad Micas,Sparkle Me Blue,,,Y,Y
Mica powder,Mad Micas,Sparkle Me Gold,,,Y,Y
Mica powder,Mad Micas,Sparkle Me Red,,,Y,Y
Mica powder,Mad Micas,Sparkle Plenty,,,Y,Y
Mica powder,Mad Micas,Sparkle Sunshine,,,Y,Y
Mica powder,Mad Micas,Spicy Tomato,,,Y,Y
Mica powder,Mad Micas,Steel Works,,,Y,Y
Mica powder,Mad Micas,Strawberry Moonshine,,,Y,Y
Mica powder,Mad Micas,Summer Bronze,,,Y,Y
Mica powder,Mad Micas,Supernova,,,Y,Y
Mica powder,Mad Micas,Tahitian Teal,,,Y,Y
Mica powder,Mad Micas,Tall Dark & Handsome,,,Y,Y
Mica powder,Mad Micas,Tangerine Dream,,,Y,Y
Mica powder,Mad Micas,Taxi Cab,,,Y,Y
Mica powder,Mad Micas,Tempest,,,Y,Y
Mica powder,Mad Micas,Tequila Sunrise,,,Y,Y
Mica powder,Mad Micas,The Guilty Grape,,,Y,Y
Mica powder,Mad Micas,The Maniacal Pea,,,Y,Y
Mica powder,Mad Micas,True Red Blend,Y,Vibrant red,Y,Y
Mica powder,Mad Micas,Twilight,,,Y,Y
Mica powder,Mad Micas,Velvet Plum,,,Y,Y
Mica powder,Mad Micas,Vineyard,,,Y,Y
Mica powder,Mad Micas,Voodoo,,,Y,Y
Mica powder,Mad Micas,Watermelon Crush,,,Y,Y
Mica powder,Mad Micas,Wicked,,,Y,Y
Mica powder,Mad Micas,Zero Gravity,Y,Black with holographic sparkle,Y,Y
Glitter,Misc,Black,Y,Extra fine,Y,Y
Glitter,Misc,Blue,Y,Extra fine,Y,Y
Glitter,Misc,Bronze,Y,Extra fine,Y,Y
Glitter,Misc,Charcoal,,Extra fine,Y,Y
Glitter,Misc,Copper,Y,Extra fine,Y,Y
Glitter,Misc,Deep Blue,Y,Extra fine,Y,Y
Glitter,Misc,Deep Green,Y,Extra fine,Y,Y
Glitter,Misc,Deep Purple,Y,Extra fine,Y,Y
Glitter,Misc,Galaxy Mix,Y,Extra fine,Y,Y
Glitter,Misc,Gold,Y,Extra fine,Y,Y
Glitter,Misc,Green,Y,Extra fine,Y,Y
Glitter,Misc,Iridescent White,Y,Extra fine,Y,Y
Glitter,Misc,Mermaid Mix,,Extra fine,Y,Y
Glitter,Misc,Neon Blue,,Extra fine,Y,Y
Glitter,Misc,Neon Green,,Extra fine,Y,Y
Glitter,Misc,Neon Orange,,Extra fine,Y,Y
Glitter,Misc,Neon Pink,,Extra fine,Y,Y
Glitter,Misc,Neon Purple,,Extra fine,Y,Y
Glitter,Misc,Neon Yellow,,Extra fine,Y,Y
Glitter,Misc,Orange,Y,Extra fine,Y,Y
Glitter,Misc,Pastel Blue,Y,Extra fine,Y,Y
Glitter,Misc,Pastel Green,Y,Extra fine,Y,Y
Glitter,Misc,Pastel Pink,Y,Extra fine,Y,Y
Glitter,Misc,Pastel Purple,Y,Extra fine,Y,Y
Glitter,Misc,Pastel Yellow,,Extra fine,Y,Y
Glitter,Misc,Pink,Y,Extra fine,Y,Y
Glitter,Misc,Purple,Y,Extra fine,Y,Y
Glitter,Misc,Rainbow Mix,,Extra fine,Y,Y
Glitter,Misc,Red,Y,Extra fine,Y,Y
Glitter,Misc,Rose Gold,Y,Extra fine,Y,Y
Glitter,Misc,Silver,Y,Extra fine,Y,Y
Glitter,Misc,Sunset Mix,,Extra fine,Y,Y
Glitter,Misc,Unicorn Mix,,Extra fine,Y,Y
Glitter,Misc,Yellow,Y,Extra fine,Y,Y
Glitter,Harry & Wilma,White Out,Y,Chunky,Y,Y
Glitter,Harry & Wilma,Black,Y,Chunky,Y,Y
Glitter,Harry & Wilma,Mermaid Heaven,Y,Chunky,Y,Y
Glitter,Harry & Wilma,Christmas mix,Y,Chunky,Y,Y
Glitter,Harry & Wilma,Chrystal Waterfall,Y,Chunky,Y,Y
Glitter,Harry & Wilma,Lemon Daisy,Y,Chunky,Y,Y
Glitter,Glitter Mine,Orchid Rain,Y,Chunky,Y,Y
Glitter,Glitter Mine,Silver Space,Y,Chunky,Y,Y
Glitter,Glitter Mine,Peacock,Y,Chunky,Y,Y
Glitter,Glitter Mine,Strawberry Dream,Y,Chunky,Y,Y
Glitter,Glitter Mine,Vampire,Y,Chunky,Y,Y
Glitter,Glitter Mine,Fairy Dust,Y,Chunky,Y,Y
Metallic leaf,Misc,Gold,Y,,Y,Y
Metallic leaf,Misc,Silver,Y,,Y,Y
Metallic leaf,Misc,Purple,Y,Running very low,Y,Y
Pigment paste,Just Resin,Black,Y,,Y,N
Pigment paste,Just Resin,White,Y,,Y,N
Inclusion,Misc,Mylar,Y,,Y,N
Inclusion,Misc,Angelina fibre,Y,,Y,N
Inclusion,Misc,Gemstone powder,Y,,Y,N
Inclusion,Misc,Noodles,Y,,Y,N
Inclusion,Misc,Flowers,Y,,Y,N
Inclusion,Misc,Moss,Y,,Y,N
Inclusion,Misc,Washi tape,Y,,Y,N
Nailpolish,Misc,Black,Y,,Y,N
Polymer Clay,Sculpey,White,Y,,N,Y
Polymer Clay,Sculpey,Black,Y,,N,Y
Polymer Clay,Sculpey,Translucent,Y,,N,Y
Polymer Clay,Sculpey,Glitter,Y,,N,Y
Polymer Clay,Cernit,Red,Y,,N,Y
Polymer Clay,Cernit,Blue,Y,,N,Y
Polymer Clay,Cernit,Yellow,Y,,N,Y
Polymer Clay,Cernit,Purple,Y,,N,Y
Polymer Clay,Cernit,Green,Y,,N,Y
Polymer Clay,Cernit,Pink,Y,,N,Y
Polymer Clay,Cernit,Orange,Y,,N,Y
Polymer Clay,Cernit,Brown,Y,,N,Y
